Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Trade/Other Goods
2004-03-31,25.75,25.75,474.79,474.79,0.0,500.54,0.0,338.51,54.03,0.0,0.0,392.54,178.89,17.27,54.17,97.7,348.03,1241.12,426.22,0.57,8.93,435.73,96.39,0.0,0.0,532.48,0.0,401.1,131.57,18.08,157.9,0.0,708.64,1241.12,190.23,8.88,276.91,0.0,16.17,63.65,20.99,0.0,0.0,77.47,0.0,13.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0
2005-03-31,25.75,25.75,761.81,761.81,0.0,787.56,12.76,461.2,95.9,0.0,0.0,557.1,288.38,41.16,84.02,171.9,585.47,1942.89,754.92,2.65,51.14,808.71,95.71,0.0,0.0,904.42,0.0,526.93,208.42,22.72,280.39,0.0,1038.47,1942.89,379.44,11.31,413.08,0.0,16.17,107.24,21.8,0.0,0.0,122.31,0.0,41.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,57.77,57.77,903.9,903.9,0.0,961.67,0.0,885.31,92.15,0.0,0.0,977.46,216.92,49.14,114.42,236.28,616.76,2555.88,938.37,2.71,96.48,1037.56,68.38,0.0,0.0,1105.94,0.0,569.0,222.04,271.55,387.36,0.0,1449.94,2555.88,323.51,11.42,367.42,0.01,35.43,32.65,24.33,0.0,0.0,122.13,0.0,130.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,57.77,57.77,1034.26,1034.26,0.0,1092.03,0.0,1499.11,95.1,0.0,0.0,1594.21,225.15,110.78,169.08,260.41,765.42,3451.66,1175.19,2.72,540.72,1718.63,68.75,0.0,0.0,1787.38,0.0,695.85,252.41,216.73,499.29,0.0,1664.28,3451.66,486.82,11.97,434.02,6.76,35.43,26.71,24.67,0.0,0.0,128.36,0.0,339.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,57.77,57.77,1114.37,1114.37,0.0,1172.14,0.0,2067.6,139.97,0.0,0.0,2207.57,323.63,88.5,158.05,307.99,878.17,4257.88,2019.5,2.72,327.6,2349.82,79.29,0.0,0.0,2429.1,0.0,870.36,274.7,62.7,621.01,0.0,1828.77,4257.88,215.03,10.65,450.51,11.17,35.43,37.6,24.67,0.0,0.0,155.31,0.0,335.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,57.77,57.77,1214.98,1214.98,0.0,1272.75,0.0,2142.04,179.87,0.0,0.0,2321.91,351.28,58.69,180.34,317.19,907.49,4502.16,2179.13,2.75,58.78,2240.66,334.98,0.0,0.0,2575.64,0.0,620.1,275.67,357.21,673.53,0.0,1926.52,4502.16,237.51,13.67,627.04,3.16,35.43,24.17,282.14,0.0,0.0,140.81,0.0,37.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,57.77,57.77,1398.08,1398.08,0.0,1455.85,0.0,2161.41,196.38,0.0,0.0,2357.79,459.39,54.32,193.97,385.93,1093.61,4907.25,2179.5,2.88,40.63,2223.02,280.48,0.0,0.0,2503.5,0.0,1107.46,397.34,222.07,676.88,0.0,2403.75,4907.25,26.13,12.36,704.0,0.0,35.43,76.52,216.95,0.0,0.0,169.56,0.0,71.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,63.65,63.65,1854.61,1854.61,0.0,1918.26,0.0,1817.96,196.81,3.26,3.22,2021.25,864.68,83.21,305.74,38.35,1291.98,5231.49,2123.82,1.83,114.09,2239.75,218.24,48.4,0.03,2506.41,134.41,1598.39,489.58,48.74,436.09,17.87,2725.08,5231.49,730.02,19.17,1218.26,0.0,35.43,61.52,160.21,111.12,26.88,144.77,41.85,124.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,63.65,63.65,1932.37,1932.37,0.0,1996.02,0.0,1927.03,202.85,2.58,3.81,2136.27,511.54,83.68,415.47,37.03,1047.72,5180.01,2193.94,1.22,181.91,2377.06,344.2,90.69,0.02,2811.97,170.52,1315.23,536.83,58.42,269.17,17.87,2368.03,5180.01,735.87,27.1,1603.08,0.0,35.43,171.16,160.16,53.45,124.6,107.25,42.64,126.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,63.65,63.65,2212.92,2212.92,0.0,2276.57,0.0,1984.96,227.14,10.28,4.17,2226.55,757.65,46.28,567.48,48.8,1420.21,5923.32,2327.81,7.71,212.9,2548.41,293.19,142.59,50.02,3034.22,266.11,1499.44,631.92,26.63,447.14,17.87,2889.1,5923.32,595.33,26.79,1599.59,0.0,35.43,170.13,154.34,281.94,1.39,156.85,52.79,133.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
