Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Provisions,Short Term Provisions,Preference Share Capital,Equity Share Application Money,Share Capital Suspense,Deferred Tax Assets [Net],Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,46.02,62.36,170.56,170.56,232.91,130.29,42.55,0.0,172.85,90.14,36.69,1.82,130.91,536.67,191.09,0.0,24.57,0.0,215.66,44.9,0.0,0.0,290.66,0.0,60.77,33.53,47.1,104.62,0.0,246.01,536.67,165.11,5.07,0.0,0.0,12.17,19.05,0.0,272.55,0.0,31.12,22.69,0.0,0.0,0.0,2.25,16.33,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,56.48,70.48,270.83,270.83,341.31,469.55,77.05,0.0,546.6,125.78,128.65,9.99,273.07,1189.7,568.91,2.58,257.13,0.0,828.61,11.52,0.0,0.0,871.82,0.0,129.88,34.85,79.9,73.26,0.0,317.88,1189.7,119.06,23.62,0.0,0.0,299.74,17.05,0.0,364.73,0.0,36.82,4.72,0.0,0.0,0.0,8.65,14.0,28.72,0.0,31.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,73.09,99.37,446.65,446.65,546.03,602.72,105.6,0.0,708.33,236.8,74.7,7.21,331.15,1590.33,875.93,2.58,147.12,0.0,1025.64,105.72,0.0,0.0,1170.76,0.0,195.13,41.73,81.01,101.7,0.0,419.57,1590.33,277.61,36.41,0.0,0.0,72.9,21.5,0.0,524.2,0.0,89.49,98.92,0.0,0.0,0.0,12.44,26.28,4.82,0.0,39.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,73.09,81.09,461.69,461.69,542.78,1130.21,135.42,0.0,1265.62,264.0,67.08,20.19,354.15,2162.55,1144.0,2.9,134.29,0.0,1281.18,166.54,0.0,0.0,1487.01,0.0,236.64,88.95,163.99,185.96,0.0,675.54,2162.55,220.2,35.02,0.0,0.0,237.92,25.92,0.0,850.83,0.0,74.64,160.32,0.0,0.0,0.0,2.89,8.0,0.0,0.0,39.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,73.09,78.09,480.73,480.73,558.82,1234.53,164.57,0.0,1399.1,307.31,119.58,23.63,477.11,2435.03,1367.39,3.24,142.1,0.0,1512.73,90.48,0.0,0.0,1657.37,0.0,290.19,75.34,92.05,320.08,0.0,777.66,2435.03,469.72,65.43,0.0,0.0,165.39,53.2,0.0,1013.11,0.0,274.08,84.25,0.0,0.0,0.0,26.59,5.0,0.0,0.0,54.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,73.09,78.09,482.14,482.14,560.23,1305.0,193.22,0.0,1498.21,353.92,108.13,74.04,540.59,2599.02,1483.46,5.52,93.81,0.0,1582.79,104.67,0.0,0.0,1776.69,0.0,210.56,152.39,88.81,370.57,0.0,822.33,2599.02,385.11,76.16,0.0,0.0,100.31,41.46,0.0,922.44,0.0,30.13,100.91,0.0,0.0,0.0,4.5,5.0,0.0,0.0,89.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,73.09,78.09,539.8,539.8,617.89,1243.75,206.35,0.0,1450.1,414.35,177.31,13.92,620.23,2688.22,1501.27,5.58,23.98,0.0,1530.84,92.94,0.0,0.0,1673.92,0.0,354.43,173.35,83.01,403.5,0.0,1014.3,2688.22,858.85,205.99,0.0,0.0,14.9,14.06,0.0,104.44,1.7,0.35,92.38,0.0,0.0,0.0,14.66,5.0,0.0,0.0,50.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,88.98,93.98,568.27,568.27,662.25,1007.69,187.87,1.95,1202.88,463.22,199.86,299.16,968.11,2833.23,1526.89,1.96,55.02,0.0,1583.86,19.05,155.84,170.31,1929.06,87.54,452.73,133.04,37.28,121.84,71.72,904.17,2833.23,1042.16,80.25,17.55,2.18,124.82,12.63,0.0,0.87,0.66,0.39,18.49,87.89,0.0,5.36,5.87,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,89.01,89.01,831.73,831.73,920.74,956.65,216.2,1.65,1177.8,491.75,263.72,337.55,1101.32,3210.33,1555.11,1.47,119.84,0.0,1676.42,85.21,348.29,75.28,2185.2,119.73,454.73,205.98,91.92,76.1,76.66,1025.12,3210.33,1008.13,73.56,24.56,11.9,124.87,9.7,0.0,0.0,0.0,0.3,84.65,122.73,73.91,3.3,8.3,0.0,0.0,10.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,100.03,100.03,960.34,960.34,1060.37,927.63,235.28,0.63,1168.11,670.03,264.15,171.83,1130.59,3359.07,1608.23,3.17,54.14,0.0,1665.55,376.94,143.74,120.28,2306.51,39.4,510.01,113.68,147.91,204.74,36.82,1052.56,3359.07,2130.45,120.63,17.61,0.0,24.65,2.48,0.01,0.0,0.0,0.26,376.38,39.72,0.0,4.57,24.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
