Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Revaluation Reserves,Deferred Tax Liabilities [Net],"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Preference Share Capital,Long Term Borrowings,Short Term Borrowings,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,126.87,126.87,52.71,69.74,196.61,0.0,0.0,348.21,227.08,28.38,50.79,416.76,961.58,348.9,1.29,4.45,0.0,354.64,0.01,106.77,0.0,38.05,499.48,0.0,149.96,212.47,54.08,45.58,0.0,462.11,961.58,45.9,132.4,4.17,0.0,99.53,7.72,10.8,0.11,0.0,0.0,17.03,47.98,0.0,0.0,0.75,0.0,300.23,110.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,126.87,126.87,-47.09,-30.45,96.42,0.0,0.0,391.17,272.24,27.61,55.24,423.08,910.67,331.62,1.29,4.39,0.0,337.31,0.0,106.36,0.0,25.73,469.4,0.0,213.78,131.95,24.61,70.93,0.0,441.27,910.67,42.85,186.27,8.82,0.0,105.7,15.69,10.8,0.0,0.0,0.0,16.64,47.98,0.0,0.0,8.51,0.0,343.19,67.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,126.87,279.21,-85.19,-68.95,210.27,0.0,0.0,242.09,275.01,40.12,62.31,431.26,883.61,312.67,1.29,3.69,0.0,317.66,0.0,128.12,0.0,52.2,497.97,0.0,197.78,109.11,15.16,63.6,0.0,385.64,883.61,94.77,174.2,20.63,0.0,156.12,26.44,10.8,0.0,0.0,0.0,16.24,51.36,0.0,0.0,4.35,152.34,190.74,53.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,126.87,279.21,-90.5,-74.66,204.56,0.0,0.0,135.76,329.47,48.89,56.0,574.25,914.56,292.17,2.6,13.27,0.0,308.04,0.0,127.58,0.0,34.05,469.67,0.0,251.57,75.64,44.42,73.26,0.0,444.9,914.56,53.29,226.89,25.45,0.0,210.31,27.38,10.8,0.0,0.0,0.0,15.84,47.81,0.0,0.0,7.04,152.34,87.95,139.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,126.87,279.21,-58.19,-42.74,236.47,0.0,0.0,212.74,429.78,69.56,55.05,594.24,1043.45,310.47,1.3,13.15,0.0,324.92,0.0,130.07,0.0,18.83,473.83,0.0,345.0,100.04,32.76,91.82,0.0,569.63,1043.45,41.9,336.58,29.78,0.0,183.39,34.45,10.8,0.0,0.0,0.0,15.45,44.04,0.0,0.0,27.9,152.34,168.69,39.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,126.87,279.21,9.82,24.87,304.09,0.0,0.0,131.38,401.24,50.61,59.16,531.0,966.47,305.85,0.59,2.02,0.0,308.46,0.0,114.4,0.0,9.4,432.26,0.0,299.87,82.07,72.78,79.49,0.0,534.21,966.47,46.94,337.89,38.66,0.0,170.46,54.17,10.8,0.0,0.0,0.0,15.05,41.15,0.0,0.0,6.47,152.34,90.23,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,126.87,279.21,72.84,87.49,366.71,0.0,0.0,35.67,601.27,57.61,112.43,771.32,1173.69,289.51,0.33,13.27,0.0,303.11,0.0,46.99,0.0,0.0,350.1,0.0,462.49,139.79,62.18,159.07,0.07,823.59,1173.69,58.43,443.06,46.88,41.77,182.27,62.07,10.8,0.0,0.0,0.0,14.65,35.52,0.0,0.0,13.5,152.34,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,126.87,180.72,227.39,241.65,422.38,10.93,52.5,84.41,696.7,65.22,45.01,806.94,1313.72,314.32,2.91,12.41,0.0,329.64,0.0,0.0,88.38,3.93,421.96,0.0,667.36,115.22,49.16,57.97,2.05,891.76,1313.72,528.0,222.62,51.69,35.04,157.51,75.01,10.8,0.0,0.0,0.0,14.26,20.98,14.22,361.7,8.83,53.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,126.87,126.87,349.45,363.32,490.19,9.4,46.59,77.27,513.19,58.28,48.31,619.77,1187.23,336.44,2.16,45.03,0.0,383.64,0.0,0.0,90.5,0.01,474.14,0.0,432.29,137.06,85.9,56.25,1.6,713.09,1187.23,731.01,307.15,51.6,6.8,176.65,74.53,10.8,0.0,0.0,0.0,13.86,21.27,6.89,143.75,39.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,126.87,126.87,477.2,490.67,617.54,11.51,52.33,88.64,581.22,57.5,39.92,678.65,1384.84,387.06,1.5,26.29,0.0,414.86,0.0,0.0,67.99,4.85,487.7,0.0,522.28,170.91,155.03,48.17,0.74,897.13,1384.84,759.36,450.41,48.44,0.0,171.42,70.79,10.8,0.0,0.0,0.0,13.47,24.8,8.1,123.76,40.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
