Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,598.33,20.37,618.7,291.35,56.3,57.22,59.14,14.94,132.24,7.51,5.73,13.24,0.92,12.32,0.0,12.32,2.25,10.07,0.0,10.07,126.87,0.79,0.79,3.17,25.0,9.52,100.0,75.0
2013-03-31,602.86,23.99,626.85,329.93,133.71,-74.63,61.89,15.6,127.95,32.4,4.58,36.98,0.63,36.35,0.0,36.35,11.6,24.75,0.0,24.75,126.87,1.95,1.95,3.17,25.0,9.52,100.0,75.0
2013-06-30,855.89,25.01,880.9,376.36,132.76,64.72,66.53,15.76,158.62,66.15,6.29,72.44,0.31,72.13,0.0,72.13,22.54,49.59,0.0,49.59,126.87,3.91,3.91,3.17,25.0,9.52,100.0,75.0
2013-09-30,586.48,28.16,614.64,353.42,108.83,-93.19,64.84,15.81,149.13,15.8,6.97,22.77,0.26,22.51,0.0,22.51,5.97,16.54,0.0,16.54,126.87,1.3,1.3,3.17,25.0,9.52,100.0,75.0
2013-12-31,647.15,25.62,672.77,275.88,112.28,50.56,68.75,15.71,128.24,21.35,7.93,29.28,0.27,29.01,0.0,29.01,7.76,21.25,0.0,21.25,126.87,1.67,1.67,3.17,25.0,9.52,100.0,75.0
2014-03-31,636.68,29.65,666.33,346.95,133.59,-69.75,63.01,16.55,133.14,42.84,8.31,51.15,0.58,50.57,0.0,50.57,15.02,35.55,0.0,35.55,126.87,2.8,2.8,3.17,25.0,9.52,100.0,75.0
2014-06-30,1020.1,32.14,1052.24,451.93,108.8,100.42,76.28,14.52,184.8,115.49,8.35,123.84,0.25,123.59,0.0,123.59,40.59,83.0,0.0,83.0,126.87,6.54,6.54,3.17,25.0,9.52,100.0,75.0
2014-09-30,709.14,35.43,744.57,412.03,83.07,-57.75,78.96,14.84,164.02,49.4,9.2,58.6,0.17,58.43,0.0,58.43,17.71,40.72,0.0,40.72,126.87,3.21,3.21,3.17,25.0,9.52,100.0,75.0
2014-12-31,689.99,31.42,721.41,354.57,69.18,10.53,76.72,18.18,156.03,36.2,9.98,46.18,0.08,46.1,0.0,46.1,14.56,31.54,0.0,31.54,126.87,2.49,2.49,3.17,25.0,9.52,100.0,75.0
2015-03-31,748.18,27.38,775.56,404.44,187.47,-153.42,83.31,20.56,171.01,62.19,10.37,72.56,0.14,72.42,0.0,72.42,17.15,55.27,0.0,55.27,126.87,4.36,4.36,3.17,25.0,9.52,100.0,75.0
2015-06-30,1068.14,32.13,1100.27,443.11,127.23,101.43,91.15,16.43,187.43,133.49,12.44,145.93,0.08,145.85,0.0,145.85,47.75,98.1,0.0,98.1,126.87,7.73,7.73,3.17,25.0,9.52,100.0,72.0
2015-09-30,677.69,35.86,713.55,388.83,52.09,-46.85,94.4,15.98,166.5,42.6,13.66,56.26,0.23,56.03,0.0,56.03,18.43,37.6,0.0,37.6,126.87,2.96,2.96,3.17,25.0,9.52,100.0,75.0
2015-12-31,762.88,51.2,814.08,347.51,67.07,69.24,98.1,18.98,161.58,51.6,13.38,64.98,0.23,64.75,0.0,64.75,20.34,44.41,-0.52,43.89,126.87,3.46,3.46,0.0,0.0,0.0,0.0,0.0
2016-03-31,829.64,30.58,860.22,440.57,201.2,-154.95,93.66,17.3,177.79,84.65,14.68,99.33,0.33,99.0,0.0,99.0,31.19,67.81,0.0,67.81,126.87,5.34,5.34,0.0,0.0,0.0,0.0,0.0
2016-06-30,1223.3,49.37,1272.67,533.45,157.96,96.94,103.76,22.46,190.28,167.82,18.6,186.42,1.45,184.97,0.0,184.97,63.02,121.95,0.0,121.95,126.87,9.61,9.61,0.0,0.0,0.0,0.0,0.0
2016-09-30,787.74,55.68,843.42,410.4,86.66,-27.45,101.75,20.67,182.38,69.01,18.62,87.63,1.57,86.06,0.0,86.06,27.34,58.72,0.0,58.72,126.87,4.63,4.63,0.0,0.0,0.0,0.0,0.0
2016-12-31,754.2,55.95,810.15,384.47,106.69,-32.21,103.43,19.5,163.45,64.82,18.95,83.77,2.24,81.53,0.0,81.53,26.09,55.44,0.0,55.44,126.87,4.37,4.37,0.0,0.0,0.0,0.0,0.0
2017-03-31,1014.55,0.0,1014.55,561.55,264.95,-233.28,102.7,24.84,194.05,99.74,16.81,116.55,0.63,115.92,0.0,115.92,41.54,74.38,0.0,74.38,126.87,5.86,5.86,0.0,0.0,0.0,0.0,0.0
2017-06-30,1464.04,0.0,1464.04,613.0,180.67,144.61,111.01,27.81,203.99,182.95,21.66,204.61,1.71,202.9,0.0,202.9,70.18,132.72,0.0,132.72,126.87,10.46,10.46,0.0,0.0,0.0,0.0,0.0
2017-09-30,1159.67,0.0,1159.67,566.44,79.66,56.78,121.51,25.49,221.78,88.01,27.68,115.69,1.69,114.0,0.0,114.0,40.55,73.45,0.0,73.45,126.87,5.79,5.79,0.0,0.0,0.0,0.0,0.0
2017-12-31,958.01,0.0,958.01,426.29,77.91,58.23,111.84,24.84,194.6,64.3,21.25,85.55,2.19,83.36,0.0,83.36,30.22,53.14,0.0,53.14,126.87,4.19,4.19,0.0,0.0,0.0,0.0,0.0
2018-03-31,1257.74,0.0,1257.74,623.92,319.72,-144.33,110.89,23.37,206.92,117.25,23.39,140.64,0.07,140.57,0.0,140.57,49.19,91.38,0.0,91.38,126.87,7.2,7.2,0.0,0.0,0.0,0.0,0.0
2018-06-30,1651.08,0.0,1651.08,772.31,169.34,88.49,119.95,27.23,256.95,216.81,35.67,252.48,1.76,250.72,0.0,250.72,86.93,163.79,0.0,163.79,126.87,12.91,12.91,0.0,0.0,0.0,0.0,0.0
2018-09-30,1181.5,0.0,1181.5,805.7,61.86,-134.8,115.8,26.92,225.18,80.84,39.82,120.66,0.26,120.4,0.0,120.4,41.85,78.55,0.0,78.55,126.87,6.19,6.19,0.0,0.0,0.0,0.0,0.0
2018-12-31,1211.54,0.0,1211.54,641.85,56.0,67.51,126.17,25.2,222.45,72.36,26.87,99.23,5.31,93.92,0.0,93.92,33.3,60.62,0.0,60.62,126.87,4.76,4.76,0.0,0.0,0.0,0.0,0.0
2019-03-31,1355.15,0.0,1355.15,749.84,177.38,-80.95,131.13,31.96,206.37,139.42,25.34,164.76,3.32,161.44,0.0,161.44,57.34,104.1,0.0,104.1,126.87,8.21,8.21,0.0,0.0,0.0,0.0,0.0
2019-06-30,1974.2,0.0,1974.2,894.72,185.56,153.32,146.25,30.51,291.9,271.94,27.43,299.37,4.47,294.9,0.0,294.9,104.06,190.84,0.0,190.84,126.87,15.04,15.04,0.0,0.0,0.0,0.0,0.0
2019-09-30,1393.46,0.0,1393.46,906.43,91.3,-188.13,153.48,33.72,288.64,108.02,38.69,146.71,4.33,142.38,0.0,142.38,17.55,124.83,0.0,124.83,126.87,9.84,9.84,0.0,0.0,0.0,0.0,0.0
2019-12-31,1271.24,0.0,1271.24,595.59,28.92,143.69,147.32,29.35,266.05,60.32,39.45,99.77,3.09,96.68,0.0,96.68,23.46,73.22,0.0,73.22,126.87,5.77,5.77,0.0,0.0,0.0,0.0,0.0
2020-03-31,1353.62,0.0,1353.62,847.01,336.9,-345.41,142.58,35.74,235.56,101.24,25.65,126.89,7.96,118.93,0.0,118.93,31.52,87.41,0.0,87.41,126.87,6.89,6.89,0.0,0.0,0.0,0.0,0.0
2020-06-30,1027.05,0.0,1027.05,296.88,76.78,284.09,148.68,28.35,173.98,18.29,14.19,32.48,7.36,25.12,0.0,25.12,8.65,16.47,0.0,16.47,126.87,1.3,1.3,0.0,0.0,0.0,0.0,0.0
