headline,link,date_str,parsed_date_iso,sentiment_score
"RBI reviewing shareholding norms for banks, says Guv Sanjay Malhotra",https://www.financialexpress.com/business/banking-finance-rbi-reviewing-shareholding-norms-for-banks-says-guv-sanjay-malhotra-3854730/,2025-05-23T11:55:00+05:30,2025-05-23T06:25:00,0.0
"Bharat Dynamics, Tata Motors among top 5 most searched stocks on Google Trends",https://www.financialexpress.com/market/bharat-dynamics-tata-motors-among-top-5-most-searched-stocks-on-google-trends-3847120/,2025-05-16T14:06:31+05:30,2025-05-16T08:36:31,0.4404
Sumitomo Group may merge India NBFC with Yes Bank after 20% stake acquisition: Report,https://www.financialexpress.com/business/banking-finance-sumitomo-group-may-merge-india-nbfc-with-yes-bank-after-20-stake-acquisition-report-3844100/,2025-05-14T10:43:27+05:30,2025-05-14T05:13:27,0.4019
"‘SMBC deal creates re-rating possibility for Yes Bank,’ Prashant Kumar",https://www.financialexpress.com/business/banking-finance-smbc-deal-creates-re-rating-possibility-for-yes-bank-prashant-kumar-3842306/,2025-05-13T17:05:16+05:30,2025-05-13T11:35:16,0.5859
"Yes Bank: 20% acquisition by Japan’s Sumitomo group to be completed by Q2FY26, says CEO",https://www.financialexpress.com/business/banking-finance-yes-bank-20-acquisition-by-japans-sumitomo-group-to-be-completed-by-q2fy26-says-ceo-3841273/,2025-05-12T12:23:12+05:30,2025-05-12T06:53:12,0.4019
YES Bank shoots up 8%; Japan’s Sumitomo Group to acquire 20% stake,https://www.financialexpress.com/market/yes-bank-shoots-up-8-japans-sumitomo-group-to-acquire-20-stake-3841229/,2025-05-12T12:15:27+05:30,2025-05-12T06:45:27,0.5319
"Stocks to watch today: From Yes Bank, Adani Power to Swiggy – Here’s a list of 9 stocks in focus today",https://www.financialexpress.com/market/stocks-to-watch-today-from-yes-bank-adani-power-to-swiggy-heres-a-list-of-9-stocks-in-focus-today-3840724/,2025-05-12T06:30:41+05:30,2025-05-12T01:00:41,0.4019
US-UK FTA becomes second booster shot for Tata Motors this week,https://www.financialexpress.com/auto/car-news/us-uk-fta-becomes-second-booster-shot-for-tata-motors-this-week/3839071/,2025-05-09T23:06:55+05:30,2025-05-09T17:36:55,0.0
"Japanese lender SMBC to buy 20% stake in Yes Bank for Rs 13,483 crore",https://www.financialexpress.com/business/banking-finance-japanese-lender-smbc-to-buy-20-stake-in-yes-bank-for-rs-13483-crore-3839074/,2025-05-09T22:34:48+05:30,2025-05-09T17:04:48,0.4019
"SBI to sell 13.19%, Federal Bank to offload 0.5% stake in Yes Bank to Sumitomo Mitsui Banking Corporation",https://www.financialexpress.com/business/banking-finance-sbi-to-sell-13-19-stake-in-yes-bank-to-sumitomo-mitsui-banking-corporation-3838762/,2025-05-09T17:53:01+05:30,2025-05-09T12:23:01,0.4019
Is Yes Bank getting a Japanese lifeline? Sumitomo Mitsui reportedly eyes majority stake,https://www.financialexpress.com/business/banking-finance-is-yes-bank-getting-a-japanese-lifeline-sumitomo-mitsui-reportedly-eyes-majority-stake-3834064/,2025-05-06T16:24:38+05:30,2025-05-06T10:54:38,0.4019
Sweep-in FD can get you higher returns,https://www.financialexpress.com/money/sweep-in-fd-can-get-you-higher-returns-3830756/,2025-05-02T22:42:32+05:30,2025-05-02T17:12:32,0.0
"ICICI, Yes, HDFC Bank push Bank Nifty to all-time high",https://www.financialexpress.com/business/banking-finance-icici-yes-hdfc-bank-push-bank-nifty-to-all-time-high-3817238/,2025-04-21T22:51:15+05:30,2025-04-21T17:21:15,0.6597
Yes Bank announces 63% rise in Q4 profit on lower provisions,https://www.financialexpress.com/business/banking-finance/yes-bank-announces-63-rise-in-q4-profit-on-lower-provisions/3814893/,2025-04-19T14:19:27+05:30,2025-04-19T08:49:27,0.5267
"Why are banks, financials surging today? 3 reasons every investor needs to know",https://www.financialexpress.com/market/why-are-banks-financials-surging-today-3-reasons-every-investor-needs-to-know-3810030/,2025-04-15T12:05:47+05:30,2025-04-15T06:35:47,0.0
From Tata Motors to Jubilant FoodWorks – Here are 9 stocks to watch,https://www.financialexpress.com/market/stocks-to-watch-tata-motors-iifl-finance-delhivery-indian-bank-indusind-bank-tata-steel-yes-bank-aavas-financiers-jubilant-foodworks-3801225/,2025-04-07T06:23:38+05:30,2025-04-07T00:53:38,0.6124
"Yes Bank lays off senior executives, restructures key business divisions: Report",https://www.financialexpress.com/business/banking-finance-yes-bank-lays-off-senior-executives-restructures-key-business-divisions-report-3799603/,2025-04-05T14:46:55+05:30,2025-04-05T09:16:55,0.4019
"HDFC Bank, Yes Bank cut FD rates, others may follow suit",https://www.financialexpress.com/business/banking-finance-hdfc-bank-yes-bank-cut-fd-rates-others-may-follow-suit-3796837/,2025-04-02T22:36:12+05:30,2025-04-02T17:06:12,0.1531
"Yes Bank posts Q3 profit jump of 164.53% at Rs 612.27 crore, NII at Rs 2,224 crore",https://www.financialexpress.com/business/banking-finance-yes-bank-posts-q3-profit-jump-of-164-53-at-rs-61227-crore-nii-at-rs-2224-crore-3725831/,2025-01-25T14:23:23+05:30,2025-01-25T08:53:23,0.6808
"Banks post strong growth in advances, deposits in Q3",https://www.financialexpress.com/business/banking-finance-banks-post-strong-growth-in-advances-deposits-in-q3-3706909/,2025-01-04T03:45:00+05:30,2025-01-03T22:15:00,0.7096
"‘Recoveries likely to exceed annual target of Rs 5,000 crore’",https://www.financialexpress.com/business/banking-finance-recoveries-likely-to-exceed-annual-target-of-rs-5000-crore-3700094/,2024-12-26T10:58:51+05:30,2024-12-26T05:28:51,0.0
High FD interest rate regime over? THIS large bank cuts rate by 25 bps – Check new rates,https://www.financialexpress.com/money/high-fd-interest-rate-regime-over-this-large-bank-cuts-rate-by-25-bps-check-new-rates-3658705/,2024-11-07T12:41:12+05:30,2024-11-07T07:11:12,0.2023
"Yes Bank posts Q2FY25 profit jump of 147.8% YoY at Rs 566.59 crore, NII at Rs 2,200 crore",https://www.financialexpress.com/business/banking-finance-yes-bank-posts-profit-q2fy25-jump-of-147-8-yoy-at-rs-56659-crore-nii-at-rs-2200-crore-3650000/,2024-10-26T14:33:54+05:30,2024-10-26T09:03:54,0.6808
"Yes Bank Q2 Results 2024: Date, Time and Where to Watch",https://www.financialexpress.com/business/banking-finance-yes-bank-q2-results-2024-date-time-and-where-to-watch-3649399/,2024-10-25T14:56:06+05:30,2024-10-25T09:26:06,0.4019
Yes Bank appoints Nirav Dalal as Country Head of Financial Markets,https://www.financialexpress.com/business/banking-finance-yes-bank-appoints-nirav-dalal-as-country-head-of-financial-markets-3641676/,2024-10-16T16:59:07+05:30,2024-10-16T11:29:07,0.4019
"PNB, Yes Bank, South Indian Bank log healthy growth in Q2 advances",https://www.financialexpress.com/business/banking-finance-pnb-yes-bank-south-indian-bank-log-healthy-growth-in-q2-advances-3629988/,2024-10-04T02:15:00+05:30,2024-10-03T20:45:00,0.7906
Yes Bank stake sale hits RBI roadblock; Regulator unwilling to let a foreign institution own majority stake,https://www.financialexpress.com/business/banking-finance-yes-bank-stake-sale-hits-rbi-roadblock-regulator-unwilling-to-let-a-foreign-institution-own-majority-stake-3609621/,2024-09-13T06:00:00+05:30,2024-09-13T00:30:00,0.4019
How MSMEs can transition towards more sustainable business models,https://www.financialexpress.com/business/sme/how-msmes-can-transition-towards-more-sustainable-business-models/3566961/,2024-07-28T12:00:29+05:30,2024-07-28T06:30:29,0.0
"YES Bank Q1 Results: Profit jumps by 48.8% YoY, NII at 2,244 crore; posts sustained improvement in asset quality metrics",https://www.financialexpress.com/business/industry-yes-bank-q1-results-profit-jumps-by-48-8-yoy-nii-at-2244-crore-posts-sustained-improvement-in-asset-quality-metrics-3559323/,2024-07-20T14:02:17+05:30,2024-07-20T08:32:17,0.8964
"Yes Bank refutes media reports of RBI’s nod for 51% stake sale, calls its ‘factually incorrect’",https://www.financialexpress.com/business/banking-finance-yes-bank-refutes-media-reports-of-rbis-nod-for-51-stake-sale-calls-its-factually-incorrect-3548089/,2024-07-09T11:16:13+05:30,2024-07-09T05:46:13,0.4019
"RBI penalises ICICI Bank, YES Bank for norm violations",https://www.financialexpress.com/business/banking-finance-rbi-penalises-icici-bank-yes-bank-for-norm-violations-3503592/,2024-05-28T03:30:00+05:30,2024-05-27T22:00:00,0.0085
YES BANK launches YES Grandeur – An exclusive banking programme for the elite and emerging affluent segments,https://www.financialexpress.com/money/yes-bank-launches-yes-grandeur-an-exclusive-banking-programme-for-the-elite-and-emerging-affluent-segments-3491477/,2024-05-17T12:35:13+05:30,2024-05-17T07:05:13,0.8949
"YES Bank, ANQ launch co-branded credit cards ‘Pi’ and ‘Phi’ – Know unique features and benefits",https://www.financialexpress.com/money/yes-bank-anq-launch-co-branded-credit-cards-pi-and-phi-know-unique-features-and-benefits-3473109/,2024-04-30T18:25:26+05:30,2024-04-30T12:55:26,0.824
Savings Account Charges: These 2 large banks to revise savings account fees from May 1 – Details,https://www.financialexpress.com/money/savings-account-charges-these-2-large-banks-to-revise-savings-account-fees-from-may-1-details-3465447/,2024-04-23T10:39:51+05:30,2024-04-23T05:09:51,-0.2732
YES Bank sells stressed loans to Prudent ARC for Rs 203 crore,https://www.financialexpress.com/business/banking-finance-yes-bank-sells-stressed-loans-to-prudent-arc-for-rs-203-crore-3432118/,2024-03-21T03:30:00+05:30,2024-03-20T22:00:00,0.2577
Paytm merchants huge opportunity but need NPCI approval: Yes Bank MD,https://www.financialexpress.com/business/banking-finance-paytm-merchants-huge-opportunity-but-need-npci-approval-yes-bank-md-3408506/,2024-02-29T03:23:00+05:30,2024-02-28T21:53:00,0.882
YES Bank Q3 PAT jumps over 4X,https://www.financialexpress.com/business/industry-yes-banks-q3-net-profit-surges-misses-market-estimates-3376477/,2024-01-27T21:22:50+05:30,2024-01-27T15:52:50,0.5319
YES BANK and Cloud Ace India team up for digital transformation,https://www.financialexpress.com/business/digital-transformation-yes-bank-and-cloud-ace-india-team-up-for-digital-transformation-3295097/,2023-11-02T16:00:00+05:30,2023-11-02T10:30:00,0.5319
Yes Bank posts 47% rise in Q2 quarterly profit,https://www.financialexpress.com/business/banking-finance-yes-bank-posts-47-rise-in-q2-quarterly-profit-3282935/,2023-10-21T22:26:19+05:30,2023-10-21T16:56:19,0.6808
Yes Bank appoints Manish Jain as Country Head-Wholesale Banking,https://www.financialexpress.com/business/banking-finance-yes-bank-appoints-manish-jain-as-country-head-wholesale-banking-3256292/,2023-09-27T13:15:36+05:30,2023-09-27T07:45:36,0.4019
"YES Bank, IndusInd Bank launch products for easing cross border payments",https://www.financialexpress.com/business/banking-finance-yes-bank-indusind-bank-launch-products-for-easing-cross-border-payments-3244058/,2023-09-15T05:00:00+05:30,2023-09-14T23:30:00,0.6633
YES Bank goes live with UPI interoperability on CBDC,https://www.financialexpress.com/business/banking-finance-yes-bank-goes-live-with-upi-interoperability-on-cbdc-3227781/,2023-08-30T22:40:11+05:30,2023-08-30T17:10:11,0.5319
"Yes Bank stock rating ‘Sell’: ICICI Securities downgrades Yes Bank shares, keeps target price unchanged",https://www.financialexpress.com/market/yes-bank-stock-rating-sell-icici-securities-downgrades-yes-bank-shares-keeps-target-price-unchanged-3185878/,2023-07-25T12:02:01+05:30,2023-07-25T06:32:01,0.8316
Yes Bank shares drops over 2 per cent after June quarter earnings,https://www.financialexpress.com/market/yes-bank-shares-drops-over-2-per-cent-after-june-quarter-earnings-3184337/,2023-07-24T13:25:13+05:30,2023-07-24T07:55:13,0.5994
Yes Bank net profit rises 10.3 pc as bad loan pile plunges to 2 pc,https://www.financialexpress.com/business/banking-finance-yes-banks-net-profit-rises-10-3-in-april-june-3182616/,2023-07-22T17:27:55+05:30,2023-07-22T11:57:55,0.2732
Governance deficit: Corporate governance remains just on paper in many large Indian companies,https://www.financialexpress.com/opinion/governance-deficit-corporate-governance-remains-just-on-paper-in-many-large-indian-companies/3171512/,2023-07-15T06:25:00+05:30,2023-07-15T00:55:00,-0.4019
A lot of value left to be extracted: Spandana Sphoorty MD Shalab Saxena,https://www.financialexpress.com/business/banking-finance-a-lot-of-value-left-to-be-extracted-spandana-sphoorty-md-shalab-saxena-3155295/,2023-07-05T00:15:00+05:30,2023-07-04T18:45:00,0.34
"Moody’s affirms Yes Bank’s ratings, financial performance to remain stable over 12-18 months",https://www.financialexpress.com/business/banking-finance-moodys-affirms-yes-banks-ratings-financial-performance-to-remain-stable-over-12-18-months-3140013/,2023-06-23T17:51:40+05:30,2023-06-23T12:21:40,0.5994
Now MSMEs can get up to Rs 3 cr loan to install solar panels at premises; see Yes Bank’s scheme details,https://www.financialexpress.com/business/sme-msme-green-now-msmes-can-get-up-to-rs-3-cr-loan-to-install-solar-panels-at-premises-see-yes-banks-scheme-details-3078773/,2023-05-11T15:44:37+05:30,2023-05-11T10:14:37,0.4019
‘We may acquire an MFI to meet priority lending norms’￼,https://www.financialexpress.com/business/banking-finance-we-may-acquire-an-mfi-to-meet-priority-lending-norms-3061143/,2023-04-25T08:18:11+05:30,2023-04-25T02:48:11,0.0
Yes Bank net profit down 45% on higher provisions,https://www.financialexpress.com/business/banking-finance-yes-bank-net-profit-down-45-on-higher-provisions-3058543/,2023-04-23T02:15:00+05:30,2023-04-22T20:45:00,0.6808
Yes Bank’s net profit drops 45% in January-March on higher provisions,https://www.financialexpress.com/business/banking-finance-yes-banks-net-profit-drops-45-in-january-march-on-higher-provisions-3058100/,2023-04-22T14:18:55+05:30,2023-04-22T08:48:55,0.6808
The global banking crisis and Yes Bank,https://www.financialexpress.com/opinion/the-global-banking-crisis-and-yes-bank/3042053/,2023-04-11T13:16:38+05:30,2023-04-11T07:46:38,-0.34
The AT-1 bonds conundrum,https://www.financialexpress.com/opinion/the-at-1-bonds-conundrum/3035584/,2023-04-06T04:00:00+05:30,2023-04-05T22:30:00,0.0
"Credit Suisse AT-1 horror: Investors reminded of rude Yes Bank shock as bonds written off, made worthless",https://www.financialexpress.com/market/credit-suisse-at-1-horror-investors-reminded-of-rude-yes-bank-shock-as-bonds-written-off-made-worthless-3018719/,2023-03-22T15:24:31+05:30,2023-03-22T09:54:31,-0.7845
"Yes Bank shares tank 8% as lock-in period ends, stock hit a low of Rs 14.4",https://www.financialexpress.com/market/yes-bank-shares-tank-8-as-lock-in-period-ends-stock-hit-a-low-of-rs-14-4-3006740/,2023-03-13T09:20:10+05:30,2023-03-13T03:50:10,0.4215
Yes Bank stocks may face mass selling as 3-yr RBI-mandated lock-in ends on Monday,https://www.financialexpress.com/market/yes-bank-stocks-may-face-mass-selling-as-3-yr-rbi-mandated-lock-in-ends-on-monday-3006368/,2023-03-12T14:56:55+05:30,2023-03-12T09:26:55,0.4019
EXPLAINER: Expiry of Yes Bank shares’ lock-in,https://www.financialexpress.com/business/banking-finance-explainer-expiry-of-yes-bank-shares-lock-in-3004090/,2023-03-10T03:15:00+05:30,2023-03-09T21:45:00,0.4019
"SC notices on pleas of RBI, others against HC order quashing Yes Bank administrator’s decision to write off AT-1 bonds",https://www.financialexpress.com/business/banking-finance-sc-notices-on-pleas-of-rbi-others-against-hc-order-quashing-yes-bank-administrators-decision-to-write-off-at-1-bonds-2998949/,2023-03-03T17:26:18+05:30,2023-03-03T11:56:18,0.4019
SBI may look to cut Yes Bank stake once lock-in ends: Sources,https://www.financialexpress.com/business/banking-finance-sbi-may-look-to-cut-yes-bank-stake-once-lock-in-ends-sources-2997452/,2023-03-02T15:26:05+05:30,2023-03-02T09:56:05,0.1531
AT-1 bonds write-off: Yes Bank moves SC against high court ruling,https://www.financialexpress.com/market/at-1-bonds-write-off-yes-bank-moves-sc-against-high-court-ruling-2980534/,2023-02-14T03:00:00+05:30,2023-02-13T21:30:00,0.4019
"Tata Motors, Yes Bank, SBI Cards, Bajaj Auto, Embassy REIT, BPCL, Pidilite, TVS Motor Company stocks in focus",https://www.financialexpress.com/market/stocks-to-watch-tata-motors-yes-bank-sbi-cards-bajaj-auto-embassy-reit-bpcl-pidilite-tvs-motor-co-stocks-in-focus-2959298/,2023-01-25T07:13:27+05:30,2023-01-25T01:43:27,0.4019
"Supreme Court sets aside Allahabad HC order in Yes Bank-Dish TV dispute, orders fresh adjudication",https://www.financialexpress.com/business/industry-supreme-court-sets-aside-allahabad-hc-order-in-yes-bank-dish-tv-dispute-orders-fresh-adjudication-2959110/,2023-01-24T20:43:24+05:30,2023-01-24T15:13:24,0.7096
Pampering bondholders,https://www.financialexpress.com/opinion/pampering-bondholders/2957953/,2023-01-24T04:30:00+05:30,2023-01-23T23:00:00,0.0
AT-1 bonds: Yes Bank to move Supreme Court,https://www.financialexpress.com/business/banking-finance-at-1-bonds-yes-bank-to-move-supreme-court-2956288/,2023-01-22T05:30:00+05:30,2023-01-22T00:00:00,0.743
