Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,644.82,644.82,0.0,46.74,6.11,77.03,272.31,242.63,38.92,281.55,0.15,281.4,0.0,281.4,89.92,191.48,0.0,191.48,95.4,2.01,2.0,54.03,56.64,28.86,69.76,30.25
2013-03-31,686.68,686.68,0.0,49.9,8.26,83.16,292.52,252.84,28.97,281.81,0.64,281.17,0.0,281.17,91.42,189.75,-6.03,183.72,95.4,1.92,1.92,54.03,56.64,26.95,65.14,28.25
2013-06-30,707.73,707.73,0.0,50.78,5.62,84.8,267.64,298.89,75.74,374.63,0.38,374.25,0.0,374.25,124.66,249.59,0.0,249.59,95.95,2.61,2.61,54.58,56.89,25.97,62.78,27.06
2013-09-30,769.09,769.09,0.0,51.05,5.69,93.07,330.95,288.33,57.18,345.51,0.61,344.9,0.0,344.9,116.92,227.98,0.0,227.98,96.0,2.38,2.38,54.63,56.91,23.27,56.23,24.23
2013-12-31,850.38,850.38,0.0,53.1,10.09,106.94,464.68,215.57,31.48,247.05,0.7,246.35,0.0,246.35,87.98,158.37,0.0,158.37,96.03,1.65,1.65,54.66,56.92,24.01,58.04,25.0
2014-03-31,748.47,748.47,0.0,68.9,12.43,86.06,386.22,194.86,20.16,215.02,5.5,209.52,0.0,209.52,73.13,136.39,0.0,136.39,96.04,1.32,1.32,54.68,56.93,24.05,58.16,25.05
2014-06-30,789.14,789.14,0.0,70.09,14.43,116.57,315.67,272.38,43.53,315.91,0.55,315.36,0.0,315.36,105.63,209.73,0.0,209.73,96.04,1.87,1.87,54.68,56.93,24.1,58.28,25.1
2014-09-30,817.68,817.68,0.0,65.6,14.24,117.54,323.11,297.19,61.35,358.54,0.1,358.44,0.0,358.44,295.09,63.35,166.16,229.51,96.04,2.08,2.08,54.68,56.93,24.74,59.81,25.76
2014-12-31,905.42,905.42,0.0,67.11,14.52,140.56,441.61,241.62,67.38,309.0,0.27,308.73,0.0,308.73,95.51,213.22,-0.92,212.3,96.04,1.83,1.83,54.68,56.93,26.28,63.54,27.36
2015-03-31,913.94,913.94,0.0,78.83,14.78,0.0,644.8,175.53,55.03,230.56,0.85,229.71,0.0,229.71,78.79,150.92,23.33,174.25,96.04,1.44,1.44,54.68,56.93,25.8,62.39,26.87
