Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Short Term Borrowings,Short Term Provisions,Intangible Assets Under Development,Long Term Loans And Advances,Short Term Loans And Advances,Trade/Other Goods,Capital Goods,Revaluation Reserves,Equity Share Application Money,Raw Materials,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,"Stores, Spares And Loose Tools"
2004-03-31,23.29,23.29,66.51,67.41,90.7,0.0,0.0,0.0,0.0,17.25,0.19,25.74,116.44,26.65,9.49,5.68,41.83,5.55,0.0,0.0,47.37,0.0,30.69,9.41,0.0,69.06,116.44,21.37,18.1,1.81,103.27,1.45,0.0,0.0,5.54,0.0,0.0,0.0,0.0,8.3,0.0,0.0,28.96,0.0,3.31,0.91,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,23.34,23.34,99.26,99.28,122.61,0.0,0.0,0.0,14.37,26.64,1.25,39.68,176.68,37.42,15.8,1.5,54.72,5.41,0.0,0.0,60.13,0.0,43.46,51.19,0.0,116.55,176.68,10.61,25.8,2.06,157.4,0.0,0.0,0.01,5.41,0.0,0.0,14.37,0.0,11.79,0.0,0.0,21.89,0.0,5.46,0.02,0.01,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,23.44,23.44,118.44,118.46,141.89,0.0,0.0,0.0,14.88,27.19,1.71,41.47,198.25,43.09,6.84,7.17,57.1,21.09,0.0,0.0,78.2,0.0,61.02,18.28,0.0,120.05,198.25,25.32,39.35,2.79,212.19,0.0,0.0,0.01,21.09,0.0,0.0,14.88,0.0,12.58,0.0,0.0,40.75,0.0,3.93,0.02,0.01,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,23.92,23.92,146.96,146.98,170.9,0.0,0.0,0.0,14.52,33.5,0.37,51.1,236.65,48.73,9.3,12.8,70.83,27.81,0.0,0.0,98.63,0.0,78.55,12.15,0.0,138.01,236.65,105.1,54.16,3.19,273.43,0.0,0.0,0.02,27.8,0.0,0.0,14.52,0.0,17.23,0.0,0.0,47.31,0.0,1.99,0.02,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,23.96,23.96,181.05,181.06,205.03,0.0,0.0,0.0,0.0,43.5,0.0,66.83,271.86,45.83,12.31,29.49,87.62,23.42,0.0,0.0,111.04,0.0,83.49,16.8,0.0,160.83,271.86,110.21,66.57,4.35,324.35,0.0,0.0,0.02,23.41,0.0,0.0,0.0,0.0,23.33,0.0,0.0,60.54,0.0,1.33,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,23.97,23.97,230.47,230.48,254.45,0.0,0.0,0.0,0.0,46.52,0.0,69.1,323.54,81.07,20.5,1.49,103.05,34.14,0.0,0.0,137.19,0.0,73.46,22.9,0.0,186.35,323.54,103.98,85.61,4.11,397.19,0.0,0.0,0.01,34.14,0.0,0.0,0.0,0.0,22.58,0.0,0.0,89.98,0.0,6.91,0.02,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,21.58,21.58,272.34,272.36,293.94,0.0,0.0,0.0,0.0,48.14,0.0,78.45,372.39,69.81,28.0,1.36,99.17,21.06,0.0,0.0,120.22,0.0,100.82,28.6,0.0,252.16,372.39,67.82,78.51,4.79,452.45,0.0,0.0,0.02,21.05,0.0,0.0,0.0,0.0,30.32,0.0,0.0,122.74,0.0,3.63,0.02,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,43.3,43.3,97.69,323.67,366.97,0.0,0.0,7.11,7.11,12.17,46.92,84.27,458.35,88.32,5.93,4.53,99.24,7.09,10.02,0.0,151.92,24.64,143.53,34.74,47.05,306.43,458.35,254.7,101.1,3.79,0.0,553.67,21.59,0.01,7.08,0.0,24.64,0.0,0.0,25.17,0.47,35.57,56.46,1.1,9.25,225.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,43.41,43.41,68.05,374.03,417.44,0.0,0.0,10.12,12.84,23.75,54.56,110.63,540.9,86.03,5.85,0.0,94.59,9.35,11.71,0.0,140.27,46.82,216.9,37.88,46.15,400.63,540.9,262.6,121.62,9.86,0.0,643.53,21.64,0.01,9.34,0.0,46.82,2.72,0.0,32.32,2.71,24.62,52.89,0.31,3.58,305.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,43.58,43.58,465.37,465.37,508.96,0.0,0.0,8.01,11.19,23.25,40.84,91.18,611.33,79.08,6.44,0.77,87.98,10.91,12.42,0.0,128.54,41.74,230.71,53.42,105.81,482.78,611.33,230.35,162.29,0.77,0.0,773.99,21.64,0.01,10.91,0.0,41.74,3.18,0.0,27.1,1.69,17.22,51.11,0.44,4.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,43.77,43.77,600.5,600.5,644.26,0.0,0.0,8.56,11.24,20.39,46.71,104.39,759.89,72.96,10.0,0.28,85.03,9.66,17.6,0.0,136.65,147.85,274.55,56.62,104.73,623.24,759.89,169.79,178.52,0.88,0.0,888.96,21.64,0.01,9.65,0.0,147.85,2.68,0.0,37.28,1.79,24.36,39.51,0.55,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
