Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,647.75,136.45,784.2,231.88,64.11,-23.31,123.97,31.27,306.94,49.34,15.02,64.36,30.2,34.16,0.0,34.16,0.2,33.96,0.0,33.96,102.37,1.66,1.66,5.16,25.21,15.31,100.0,74.79
2013-03-31,712.37,241.59,953.96,250.39,75.49,-5.42,108.24,28.28,287.3,209.68,11.21,220.89,18.57,202.32,0.0,202.32,-0.21,202.53,0.0,202.53,102.37,9.89,9.89,5.16,25.21,15.31,100.0,74.79
2013-06-30,706.98,131.05,838.03,236.55,63.98,-21.5,123.69,29.64,289.74,115.93,217.55,333.48,14.53,318.95,0.0,318.95,-0.72,319.67,0.0,319.67,102.37,15.61,15.61,5.16,25.21,15.31,100.0,74.79
2013-09-30,839.96,145.03,984.99,288.77,89.13,-3.67,130.85,32.47,309.85,137.59,8.7,146.29,10.1,136.19,0.0,136.19,-15.57,151.76,0.0,151.76,102.37,7.41,7.41,5.16,25.21,15.31,100.0,74.79
2013-12-31,897.13,130.35,1027.48,264.0,98.53,-8.14,127.17,32.37,359.52,154.03,60.0,214.03,7.8,206.23,0.0,206.23,11.3,194.93,0.0,194.93,102.37,9.52,9.52,5.16,25.21,15.31,100.0,74.79
2014-03-31,990.42,111.12,1101.54,266.73,105.8,0.32,133.03,32.17,320.79,242.7,20.35,263.05,10.01,253.04,0.0,253.04,36.36,216.68,0.0,216.68,102.37,10.58,10.58,5.16,25.21,15.31,100.0,74.79
2014-06-30,986.91,125.88,1112.79,316.55,115.37,-51.89,151.76,52.95,317.15,210.9,16.34,227.24,8.25,218.99,0.0,218.99,21.7,197.29,0.0,197.29,102.37,9.64,9.64,5.16,25.21,15.31,100.0,74.79
2014-09-30,1117.95,134.86,1252.81,359.72,91.85,-13.37,143.19,52.24,347.49,271.69,143.79,415.48,10.23,405.25,0.0,405.25,39.64,365.61,0.0,365.61,102.37,17.86,17.86,5.16,25.21,15.31,100.0,74.79
2014-12-31,1243.67,221.21,1464.88,313.01,107.62,-5.36,162.09,51.27,404.15,432.1,10.18,442.28,10.5,431.78,0.0,431.78,70.62,361.16,0.0,361.16,102.37,17.64,17.64,5.16,25.21,15.31,100.0,74.79
2015-03-31,1337.56,116.39,1453.95,296.78,126.66,-5.36,150.09,55.39,422.82,407.57,14.9,422.47,13.86,408.61,0.0,408.61,61.55,347.06,0.0,347.06,102.37,16.95,16.95,5.16,25.21,15.31,100.0,74.79
2015-06-30,1752.0,162.1,1914.1,359.9,109.0,61.1,162.6,51.8,494.2,675.5,18.8,694.3,6.0,688.3,0.0,688.3,123.3,565.0,0.0,565.0,102.4,5.52,5.52,5.16,25.21,15.31,100.0,74.79
2015-09-30,1771.7,183.5,1955.2,355.2,129.4,24.2,175.3,54.5,500.6,716.0,64.9,780.9,7.5,773.4,0.0,773.4,138.7,634.7,0.0,634.7,102.4,6.2,6.2,0.0,0.0,0.0,0.0,0.0
2015-12-31,1584.0,172.0,1756.0,362.5,114.2,-4.1,162.5,54.8,502.3,563.8,31.7,595.5,6.1,589.4,0.0,589.4,105.5,483.9,0.0,483.9,102.4,4.73,4.73,0.0,0.0,0.0,0.0,0.0
2016-03-31,1347.3,81.2,1428.5,301.8,109.6,-31.0,195.4,60.1,392.5,400.1,59.5,459.6,6.9,452.7,0.0,452.7,98.8,353.9,0.0,353.9,102.4,3.46,3.46,0.0,0.0,0.0,0.0,0.0
2016-06-30,1212.8,58.9,1271.7,282.7,147.1,-10.9,209.8,64.8,409.5,168.7,43.8,212.5,5.7,206.8,0.0,206.8,41.7,165.1,0.0,165.1,102.4,1.61,1.61,0.0,0.0,0.0,0.0,0.0
2016-09-30,1076.8,14.6,1091.4,278.2,143.9,-81.9,211.1,67.2,418.9,54.0,83.9,137.9,5.8,132.1,0.0,132.1,23.1,109.0,0.0,109.0,102.4,1.06,1.06,0.0,0.0,0.0,0.0,0.0
2016-12-31,1055.7,45.4,1101.1,290.2,156.0,-55.1,219.7,69.8,405.5,15.0,52.1,67.1,3.7,63.4,0.0,63.4,9.5,53.9,0.0,53.9,102.4,0.53,0.53,0.0,0.0,0.0,0.0,0.0
2017-03-31,758.3,61.9,820.2,276.7,26.6,-30.5,156.5,54.5,330.0,6.4,404.6,411.0,-3.8,414.8,0.0,414.8,-56.6,471.4,0.0,471.4,102.4,4.61,4.61,0.0,0.0,0.0,0.0,0.0
2017-06-30,987.7,55.0,1042.7,303.3,88.7,-86.1,177.5,66.4,360.9,132.0,52.0,184.0,11.9,172.1,0.0,172.1,80.7,91.4,0.0,91.4,102.4,0.89,0.89,0.0,0.0,0.0,0.0,0.0
2017-09-30,1691.9,46.4,1738.3,419.1,52.1,36.5,198.1,70.2,382.5,579.8,67.4,647.2,24.0,623.2,0.0,623.2,173.4,449.8,0.0,449.8,102.4,4.39,4.39,0.0,0.0,0.0,0.0,0.0
2017-12-31,1504.6,69.2,1573.8,433.3,83.1,-61.8,194.8,77.8,515.2,331.4,58.0,389.4,2.7,386.7,0.0,386.7,80.3,306.4,0.0,306.4,102.4,2.99,2.99,0.0,0.0,0.0,0.0,0.0
2018-03-31,1391.8,63.3,1455.1,408.3,94.7,-75.5,233.1,78.7,405.8,310.0,30.5,340.5,25.3,315.2,0.0,315.2,72.0,243.2,0.0,243.2,102.4,2.38,2.38,0.0,0.0,0.0,0.0,0.0
2018-06-30,1420.1,84.8,1504.9,429.3,100.3,5.5,238.3,83.6,348.0,299.9,106.1,406.0,38.0,368.0,0.0,368.0,57.8,310.2,0.0,310.2,102.4,3.03,3.03,0.0,0.0,0.0,0.0,0.0
2018-09-30,1582.4,62.1,1644.5,468.5,93.9,-45.3,243.3,88.0,374.8,421.3,409.8,831.1,40.5,790.6,0.0,790.6,124.1,666.5,0.0,666.5,102.4,6.51,6.51,0.0,0.0,0.0,0.0,0.0
2018-12-31,1608.9,66.6,1675.5,454.9,94.9,-12.4,239.9,89.8,442.0,366.4,49.6,416.0,-15.5,431.5,0.0,431.5,68.2,363.3,0.0,363.3,102.4,3.55,3.55,0.0,0.0,0.0,0.0,0.0
2019-03-31,1495.8,74.1,1569.9,468.9,53.2,-21.9,249.0,95.2,440.2,285.3,36.3,321.6,25.7,295.9,0.0,295.9,66.1,229.8,12.4,242.2,102.4,2.37,2.37,0.0,0.0,0.0,0.0,0.0
2019-06-30,1268.7,75.1,1343.8,409.8,92.7,-40.1,265.2,90.0,433.1,93.1,27.0,120.1,26.3,93.8,0.0,93.8,15.1,78.7,0.0,78.7,102.4,0.77,0.77,0.0,0.0,0.0,0.0,0.0
2019-09-30,1567.3,115.4,1682.7,480.3,97.3,-84.1,267.3,92.4,456.2,373.3,408.0,781.3,68.3,713.0,0.0,713.0,85.1,627.9,0.0,627.9,102.4,6.13,6.13,0.0,0.0,0.0,0.0,0.0
2019-12-31,1627.7,83.3,1711.0,486.5,10.2,53.7,277.3,109.8,531.9,241.6,29.7,271.3,48.4,222.9,0.0,222.9,29.8,193.1,20.5,213.6,102.4,2.09,2.09,0.0,0.0,0.0,0.0,0.0
2020-03-31,1707.3,104.9,1812.2,477.8,-18.1,94.8,267.4,112.3,470.7,407.3,400.2,807.5,62.6,744.9,-52.0,692.9,86.4,606.5,12.8,619.3,102.4,6.05,6.05,0.0,0.0,0.0,0.0,0.0
2020-06-30,1795.9,0.0,1795.9,520.5,30.6,-66.3,292.8,110.9,429.1,478.3,20.0,498.3,19.9,478.4,0.0,478.4,80.2,398.2,0.0,398.2,102.4,3.89,3.89,0.0,0.0,0.0,0.0,0.0
2020-09-30,2056.9,0.0,2056.9,603.7,65.9,-16.6,278.0,112.1,498.3,515.5,60.8,576.3,14.9,561.4,0.0,561.4,88.4,473.0,0.0,473.0,102.4,4.62,4.62,0.0,0.0,0.0,0.0,0.0
2020-12-31,1822.2,96.6,1918.8,630.2,16.3,-61.0,281.8,113.1,553.4,385.0,25.0,410.0,15.6,394.4,-187.5,206.9,66.6,140.3,0.0,140.3,102.4,1.37,1.37,0.0,0.0,0.0,0.0,0.0
2021-03-31,2018.8,0.0,2018.8,592.0,40.5,-4.4,294.7,115.0,491.8,489.2,-26.9,462.3,20.5,441.8,0.0,441.8,-22.9,464.7,0.0,464.7,102.4,4.54,4.54,0.0,0.0,0.0,0.0,0.0
